report_date,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt,category1,category2,category3,category4,index,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,mfd_daily_yield,mfd_7daily_yield
2013-07-01,252327861,225364535,32488348,32458786,21250722,11208064,5525022,382160,5142862,5142862,0,29562,0.0,89350.0,0.0,292810.0,0.0,4.456,5.423,6.04,6.88,5.295,4.239,4.282,4.4125,1.5787,6.307
2013-07-02,278810703,252327861,29037390,29007510,16561183,12446327,2554548,350066,2204482,2204482,0,29880,0.0,1650.0,0.0,348416.0,1.0,3.786,4.75,5.074,5.8,5.211,4.2344,4.2808,4.407,1.5461,6.1739999999999995
2013-07-03,300127606,278810703,27270770,27234156,20493660,6740496,5953867,454406,5499461,5499461,0,36614,0.0,69764.0,0.0,384642.0,2.0,3.4,4.242,4.658,5.2,5.148,4.23,4.2796,4.4022,1.4669999999999999,6.034
2013-07-04,312038062,300127606,18321185,18282230,12108178,6174052,6410729,535391,5875338,5875338,0,38955,25078.0,107500.0,0.0,402813.0,3.0,3.348,3.938,4.464,5.102,5.029,4.2287,4.2776,4.4,1.4223,5.903
2013-07-05,320923224,312038062,11648749,11607991,6930431,4677560,2763587,697926,2065661,2065661,0,40758,0.0,51100.0,0.0,646826.0,4.0,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3845,5.739
2013-07-06,356057861,320923224,36751272,36709190,31533483,5175707,1616635,300533,1316102,1316102,0,42082,0.0,21800.0,0.0,278733.0,4.0,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3845,5.739
2013-07-07,361037358,356057861,8962232,8920335,5257768,3662567,3982735,336880,3645855,3645855,0,41897,0.0,0.0,0.0,336880.0,4.0,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,1.3845,5.739
2013-07-08,409947895,361037358,57258266,57218409,47490938,9727471,8347729,852530,7495199,7495199,0,39857,219851.0,3500.0,0.0,629179.0,5.0,3.256,3.656,3.686,4.3,4.794,4.2238,4.2741,4.4,1.3129,5.279
2013-07-09,433273777,409947895,26798941,26755943,21541164,5214779,3473059,765509,2707550,2707550,0,42998,60000.0,0.0,0.0,705509.0,6.0,3.249,3.596,3.604,4.298,4.723,4.2215,4.272,4.4,1.3096,5.15
2013-07-10,461373114,433273777,30696506,30644691,20475437,10169254,2597169,603737,1993432,1993432,0,51815,8000.0,267500.0,0.0,328237.0,7.0,3.251,3.59,3.85,4.269,4.704,4.22,4.2707,4.4,1.2792,5.047
