report_date,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt,category1,category2,category3,category4,index,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,mfd_daily_yield,mfd_7daily_yield
2014-04-01,20592900643,20417009416,453320585,450478122,146539591,303938531,277429358,49540539,227888819,37116613,190772206,2842463,16208162.0,13781112.0,280000.0,19271265.0,188.0,2.866,4.205,4.503,4.6,5.5,5.0,5.0,5.0,1.4368,5.356
2014-04-02,20675635695,20592900643,355347118,352449616,141024158,211425458,272612066,51040952,221571114,28301147,193269967,2897502,16141646.0,21068826.0,200000.0,13630480.0,189.0,2.95,4.225,4.504,4.6,5.5,5.0,5.0,5.0,1.4369999999999998,5.357
2014-04-03,20772907358,20675635695,363877120,360958034,165866758,195091276,266605457,45762040,220843417,46915541,173927876,2919086,12047671.0,14437186.0,380000.0,18897183.0,190.0,2.95,4.103,4.457,4.6,5.5,5.0,5.0,5.0,1.4364,5.362
2014-04-04,20824610615,20772907358,251895894,248968008,62838487,186129521,200192637,37871189,162321448,35154471,127166977,2927886,14199433.0,12740751.0,1000000.0,9931005.0,191.0,2.763,2.997,4.278,4.597,5.5,5.0,5.0,5.0,1.4338,5.367000000000001
2014-04-05,20863747475,20824610615,202336542,199391149,68763348,130627801,163199682,43889726,119309956,23061774,96248182,2945393,19793373.0,13249520.0,0.0,10846833.0,191.0,2.763,2.997,4.278,4.597,5.5,5.0,5.0,5.0,1.4338,5.367000000000001
2014-04-06,20853648046,20863747475,129477254,126550557,36688261,89862296,139576683,29557907,110018776,41472248,68546528,2926697,21741519.0,1500329.0,0.0,6316059.0,191.0,2.763,2.997,4.278,4.597,5.5,5.0,5.0,5.0,1.4338,5.367000000000001
2014-04-07,20873617708,20853648046,196936223,194021386,64582752,129438634,176966561,40119763,136846798,35095605,101751193,2914837,16019023.0,11785356.0,0.0,12315384.0,191.0,2.763,2.997,4.278,4.597,5.5,5.0,5.0,5.0,1.4338,5.367000000000001
2014-04-08,20978372726,20873617708,354770149,351854096,104834487,247019609,250015131,44570398,205444733,31814997,173629736,2916053,19314599.0,7143351.0,1500000.0,16612448.0,192.0,2.713,3.591,4.21,4.437,5.5,5.0,5.0,5.0,1.4263,5.367999999999999
2014-04-09,21072390013,20978372726,383347565,380410136,150308931,230101205,289330278,50308002,239022276,37522743,201499533,2937429,18615068.0,12029732.0,5000000.0,14663202.0,193.0,2.74,3.67,4.182,4.401,5.5,5.0,5.0,5.0,1.4239,5.36
2014-04-10,21172042609,21072390013,386567460,383627601,164835943,218791658,286914864,53154622,233760242,44846276,188913966,2939859,22256126.0,18501491.0,0.0,12397005.0,194.0,2.74,3.708,3.715,4.375,5.5,5.0,5.0,5.0,1.4202,5.351
