report_date,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,mfd_daily_yield,mfd_7daily_yield,user_id,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt,category1,category2,category3,category4
2013-07-01,1965.0959999999823,2391.542999999986,2663.639999999988,3034.0800000000313,2335.0950000000144,1869.3990000000092,1888.361999999989,1945.9124999999847,696.206700000007,2781.3869999999797,6305946,252327861,225364535,32488348,32458786,21250722,11208064,5525022,382160,5142862,5142862,0,29562,0.0,89350.0,0.0,292810.0
2013-07-02,1817.2800000000047,2280.0,2435.5200000000154,2784.000000000012,2501.279999999986,2032.5120000000175,2054.784,2115.3599999999888,742.128000000007,2963.519999999991,6776722,278810703,252327861,29037390,29007510,16561183,12446327,2554548,350066,2204482,2204482,0,29880,0.0,1650.0,0.0,348416.0
2013-07-03,1696.600000000013,2116.7579999999903,2324.3419999999746,2594.7999999999934,2568.852,2110.7700000000077,2135.52040000001,2196.697799999997,732.032999999996,3010.9660000000335,7025037,300127606,278810703,27270770,27234156,20493660,6740496,5953867,454406,5499461,5499461,0,36614,0.0,69764.0,0.0,384642.0
2013-07-04,1751.0039999999854,2059.574000000024,2334.671999999989,2668.3459999999977,2630.1669999999986,2211.6100999999785,2237.1847999999713,2301.2000000000226,743.862899999994,3087.2689999999693,7334624,312038062,300127606,18321185,18282230,12108178,6174052,6410729,535391,5875338,5875338,0,38955,25078.0,107500.0,0.0,402813.0
2013-07-05,1838.720000000025,2075.904000000009,2336.4800000000178,2604.9440000000372,2686.815999999994,2299.651200000007,2325.5455999999667,2393.6000000000245,753.1680000000014,3122.0160000000137,7603689,320923224,312038062,11648749,11607991,6930431,4677560,2763587,697926,2065661,2065661,0,40758,0.0,51100.0,0.0,646826.0
2013-07-08,1888.4800000000162,2120.4799999999786,2137.8799999999856,2494.0000000000036,2780.519999999998,2449.8040000000133,2478.978000000026,2552.0000000000277,761.4820000000063,3061.8199999999983,8274384,409947895,361037358,57258266,57218409,47490938,9727471,8347729,852530,7495199,7495199,0,39857,219851.0,3500.0,0.0,629179.0
2013-07-09,1994.8860000000122,2207.944000000002,2212.856000000009,2638.9719999999697,2899.921999999979,2592.0010000000375,2623.0079999999807,2701.600000000031,804.0944000000072,3162.1000000000345,8757529,433273777,409947895,26798941,26755943,21541164,5214779,3473059,765509,2707550,2707550,0,42998,60000.0,0.0,0.0,705509.0
2013-07-10,2012.3689999999876,2222.209999999987,2383.1499999999724,2642.5109999999713,2911.776000000017,2612.179999999985,2643.5633000000153,2723.6000000000313,791.8247999999893,3124.093000000014,8783271,461373114,433273777,30696506,30644691,20475437,10169254,2597169,603737,1993432,1993432,0,51815,8000.0,267500.0,0.0,328237.0
2013-07-11,2207.392600000018,2506.979999999972,2570.147999999974,2862.9580000000474,3089.6389999999697,2776.6942000000276,2809.989000000033,2895.200000000035,830.1328000000074,3263.021999999966,9389038,501939511,461373114,44075197,44021031,38701392,5319639,3508800,981695,2527105,2527105,0,54166,325455.0,2194.0,0.0,654046.0
2013-07-12,2234.0999999999904,2572.600000000008,2659.2560000000103,2794.6560000000145,3175.8069999999616,2856.1952999999858,2891.0608000000016,2978.8000000000366,845.3698999999945,3306.4680000000085,9615124,527630842,501939511,34183904,34126845,28358933,5767912,8492573,1371072,7121501,7121501,0,57059,483604.0,173268.0,0.0,714200.0
